年月日,日照時間(時間),日照時間(時間).1 / 現象なし情報,最深積雪(cm),最深積雪(cm).1 / 現象なし情報,平均風速(m/s),平均蒸気圧(hPa),平均湿度(％),平均海面気圧(hPa),平均現地気圧(hPa),平均雲量(10分比),平均気温(℃),合計全天日射量(MJ/㎡),降水量の合計(mm),降水量の合計(mm).1 / 現象なし情報,降雪量合計(cm),降雪量合計(cm).1 / 現象なし情報,最高気温(℃),最低気温(℃),最多風向(16方位),最大風速(m/s),最大風速(m/s).4 / 風向,最低海面気圧(hPa),最低海面気圧(hPa).1 / 現象なし情報,最小相対湿度(％),10分間降水量の最大(mm),10分間降水量の最大(mm).1 / 現象なし情報,最大瞬間風速(m/s),最大瞬間風速(m/s).4 / 風向,天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
2015/1/12,9.1,0,0.0,1,4.6,3.4,39.0,1019.3,1016.3,0.0,5.2,12.29,0.0,1,0.0,1,9.0,2.0,北西,9.1,北西,1012.7,0,25.0,0.0,1,15.8,北西,快晴,快晴
2015/1/13,9.1,0,0.0,1,3.3,3.6,38.0,1027.9,1024.9,0.5,6.6,12.11,0.0,1,0.0,1,11.8,2.5,北西,7.5,西北西,1023.6,0,24.0,0.0,1,11.1,西北西,快晴,晴
2015/1/14,5.9,0,0.0,1,1.6,4.9,50.0,1026.9,1023.9,5.0,6.6,9.88,0.0,1,0.0,1,11.5,1.2,北北西,3.5,北西,1022.0,0,34.0,0.0,1,5.9,北西,晴後曇,曇
2015/1/15,0.0,0,0.0,1,3.2,6.7,76.0,1012.7,1009.7,10.0,5.4,0.97,35.5,0,0.0,1,8.2,3.4,北北西,8.1,北北西,1004.1,0,46.0,2.5,0,14.1,北西,大雨一時曇,雨後晴
2015/1/16,6.9,0,0.0,1,2.8,6.0,54.0,1012.6,1009.7,6.8,8.9,10.98,0.0,0,0.0,1,13.2,4.9,北西,5.7,南東,1007.9,0,23.0,0.0,0,10.7,西北西,晴後曇,曇後晴
2015/1/17,6.9,0,0.0,1,4.2,5.2,56.0,1007.8,1004.9,2.8,5.9,9.9,0.0,0,0.0,1,11.6,1.3,北西,9.4,北北西,1003.1,0,29.0,0.0,0,19.1,北北西,晴,快晴
2015/1/18,9.3,0,0.0,1,3.3,3.0,36.0,1017.6,1014.6,1.5,4.7,12.77,0.0,1,0.0,1,10.9,-0.5,西北西,6.4,北西,1016.1,0,18.0,0.0,1,11.5,北北西,快晴,晴時々薄曇
2015/1/19,9.0,0,0.0,1,2.5,3.9,44.0,1011.8,1008.8,1.8,5.7,12.42,0.0,1,0.0,1,11.7,-0.7,北北西,5.7,北北西,1007.9,0,25.0,0.0,1,10.2,北北西,晴,快晴
2015/1/20,9.2,0,0.0,1,3.6,3.9,42.0,1021.9,1018.9,0.0,6.3,12.5,0.0,1,0.0,1,11.2,2.7,北北西,6.8,北西,1016.0,0,27.0,0.0,1,12.6,北西,快晴,晴後曇
2015/1/21,0.0,0,0.0,1,3.1,5.1,69.0,1027.4,1024.3,10.0,2.5,1.59,4.0,0,0.0,1,3.8,1.5,北北西,5.0,北北西,1022.1,0,38.0,0.5,0,9.3,北北西,曇時々雪後雨,曇一時雨
2015/1/22,0.0,0,0.0,1,2.4,7.7,91.0,1012.0,1009.0,10.0,4.6,1.18,7.5,0,0.0,1,5.6,3.2,北北西,5.2,北北西,1000.9,0,79.0,0.5,0,9.1,北西,雨一時曇,雨
2015/1/23,6.8,0,0.0,1,4.3,6.1,63.0,1007.1,1004.1,5.0,6.9,11.31,7.5,0,0.0,1,12.8,3.7,北北西,9.1,北北西,999.6,0,33.0,1.0,0,17.6,北,晴一時曇,快晴
2015/1/24,0.4,0,0.0,1,2.4,4.0,47.0,1021.3,1018.3,5.0,4.9,5.67,0.0,1,0.0,1,8.1,2.9,北北西,6.6,北,1016.0,0,35.0,0.0,1,10.9,西北西,曇,快晴
2015/1/25,7.1,0,0.0,1,2.0,5.9,59.0,1027.3,1024.3,5.0,7.0,11.59,0.0,1,0.0,1,12.2,0.9,北北西,4.9,南東,1023.3,0,40.0,0.0,1,8.2,南南東,晴後薄曇,曇後一時雨
2015/1/26,4.4,0,0.0,1,2.0,8.5,74.0,1022.1,1019.1,10.0,9.0,9.41,0.5,0,0.0,1,12.9,5.6,北北西,3.8,南南東,1015.8,0,52.0,0.5,0,6.0,南南東,曇時々晴,雨一時曇
2015/1/27,5.1,0,0.0,1,3.1,8.3,71.0,1009.9,1007.0,9.8,9.8,9.79,14.5,0,0.0,1,16.4,5.8,北北西,6.3,北北西,1006.0,0,40.0,1.5,0,12.1,北西,晴時々曇一時雨,曇時々雨後一時みぞれ
2015/1/28,6.2,0,0.0,1,4.0,3.6,41.0,1017.7,1014.7,7.0,5.2,11.33,0.0,0,0.0,1,9.7,1.4,北北西,7.6,北北西,1011.4,0,20.0,0.0,0,14.6,北北西,晴時々曇一時雪,快晴
2015/1/29,6.6,0,0.0,1,2.5,3.4,42.0,1026.4,1023.4,5.0,3.9,12.13,0.0,1,0.0,1,8.2,-0.9,北北西,5.1,北北西,1024.1,0,22.0,0.0,1,9.7,北西,晴後曇,曇後一時雪
2015/1/30,0.0,0,3.0,0,3.3,6.3,88.0,1017.0,1013.9,10.0,2.2,1.61,16.5,0,3.0,0,4.7,0.4,北北西,5.5,北北西,1007.7,0,53.0,1.0,0,11.0,北北西,雪一時みぞれ後雨,晴時々曇
2015/1/31,9.4,0,1.0,0,4.4,4.5,56.0,1011.8,1008.8,0.8,4.9,14.73,0.0,1,0.0,1,10.5,0.8,北西,10.5,北西,1007.3,0,19.0,0.0,1,19.3,西北西,快晴,快晴
2015/2/1,9.6,0,0.0,1,5.5,2.6,32.0,1019.5,1016.5,0.0,4.0,14.65,0.0,1,0.0,1,8.6,0.7,北西,10.4,北北西,1015.8,0,22.0,0.0,1,17.3,北北西,快晴,快晴
2015/2/2,9.6,0,0.0,1,4.7,2.8,34.0,1021.8,1018.8,1.3,4.7,14.78,0.0,1,0.0,1,9.6,1.0,北西,9.1,北西,1019.9,0,22.0,0.0,1,15.4,北西,快晴,晴
2015/2/3,9.4,0,0.0,1,2.5,3.5,42.0,1022.2,1019.2,2.3,4.7,14.39,0.0,1,0.0,1,10.3,0.4,北,4.8,北北西,1020.4,0,29.0,0.0,1,9.2,北北西,晴,晴時々曇
2015/2/4,7.6,0,0.0,1,2.3,4.3,49.0,1020.2,1017.2,8.3,5.2,13.3,0.0,1,0.0,1,9.6,1.1,北,4.4,東,1018.0,0,28.0,0.0,1,7.6,南,晴後時々薄曇,曇
2015/2/5,0.0,0,0.0,1,2.5,6.3,87.0,1014.0,1011.0,10.0,2.6,1.47,9.0,0,0.0,1,5.1,1.1,北北西,4.8,北北西,1010.9,0,58.0,0.5,0,7.3,北,雨時々みぞれ,雨後晴
2015/2/6,8.9,0,0.0,1,2.8,5.0,60.0,1016.4,1013.4,0.3,5.4,13.42,0.0,0,0.0,1,12.0,-0.3,北北西,5.9,北北西,1011.9,0,23.0,0.0,0,10.5,西北西,快晴,快晴
2015/2/7,3.6,0,0.0,1,2.4,5.3,60.0,1022.3,1019.2,7.5,5.3,9.55,1.5,0,0.0,1,9.6,1.2,北北西,5.9,南東,1019.2,0,32.0,0.5,0,9.7,南東,曇,雨後曇一時晴
2015/2/8,0.3,0,0.0,1,1.9,7.1,87.0,1010.4,1007.4,5.0,4.0,3.52,6.0,0,0.0,1,6.8,2.0,北北西,4.6,北西,1004.6,0,66.0,1.0,0,8.5,北西,曇一時雨,晴時々曇
2015/2/9,1.7,0,0.0,1,3.2,3.4,49.0,1010.3,1007.3,7.3,2.0,5.97,0.0,1,0.0,1,4.9,-0.6,北北西,7.0,北北西,1006.1,0,26.0,0.0,1,15.1,北北西,曇後時々晴,晴
2015/2/10,9.6,0,0.0,1,2.2,3.7,49.0,1011.3,1008.3,0.0,3.2,14.81,0.0,1,0.0,1,8.1,-2.4,南南東,5.0,南南東,1009.5,0,25.0,0.0,1,8.0,南南東,快晴,快晴
2015/2/11,9.7,0,0.0,1,2.0,4.8,54.0,1012.1,1009.1,3.0,5.6,15.14,0.0,1,0.0,1,10.9,0.2,北北西,4.2,南,1009.7,0,30.0,0.0,1,6.9,南,晴,薄曇時々晴
2015/2/12,9.5,0,0.0,1,1.7,5.5,56.0,1004.5,1001.6,2.5,7.0,14.1,0.0,1,0.0,1,13.0,1.2,北北西,3.8,北北西,1001.2,0,33.0,0.0,1,5.8,北北西,快晴,晴一時曇
2015/2/13,6.3,0,0.0,1,3.9,3.8,46.0,1003.5,1000.5,5.8,5.0,12.57,0.0,1,0.0,1,12.3,1.1,北西,7.9,北北西,1000.1,0,12.0,0.0,1,15.9,北北西,晴後曇,快晴
2015/2/14,9.9,0,0.0,1,3.2,2.4,29.0,1012.0,1009.1,0.3,4.9,16.45,0.0,1,0.0,1,10.6,-1.4,北西,7.3,北西,1009.4,0,13.0,0.0,1,14.2,北,快晴,快晴
2015/2/15,9.8,0,0.0,1,5.0,3.6,41.0,1012.9,1009.9,0.0,5.5,15.55,0.0,1,0.0,1,11.7,0.3,北北西,11.0,北北西,1009.5,0,23.0,0.0,1,21.3,北西,快晴,晴後一時薄曇
2015/2/16,9.8,0,0.0,1,2.9,3.2,33.0,1014.0,1011.1,6.8,7.0,16.12,0.0,1,0.0,1,13.2,1.5,北北西,6.8,北西,1011.4,0,15.0,0.0,1,13.8,西北西,薄曇時々晴,薄曇時々晴
2015/2/17,0.0,0,0.0,1,2.4,6.2,77.0,1013.4,1010.4,10.0,3.9,2.97,3.0,0,0.0,1,5.4,1.3,北北西,4.7,北北西,1011.2,0,50.0,0.5,0,7.8,北北西,雨時々曇一時雪,雨
2015/2/18,0.0,0,0.0,1,3.2,7.2,93.0,1008.6,1005.6,10.0,3.3,2.17,10.5,0,0.0,1,4.3,2.5,北北西,6.5,北北西,1006.2,0,89.0,0.5,0,12.0,北,雨、みぞれを伴う,曇一時雨後晴
2015/2/19,9.2,0,0.0,1,2.4,6.5,72.0,1011.2,1008.3,4.8,6.2,16.03,0.0,1,0.0,1,13.0,0.9,北,4.5,東北東,1009.0,0,36.0,0.0,1,8.9,北東,晴,晴一時曇
2015/2/20,7.9,0,0.0,1,2.4,6.1,66.0,1021.2,1018.3,2.0,6.3,15.0,0.0,0,0.0,1,11.9,2.5,北東,4.3,東北東,1016.6,0,36.0,0.0,0,7.9,北東,晴,快晴
2015/2/21,9.2,0,0.0,1,2.4,5.6,61.0,1028.1,1025.0,4.5,6.2,16.14,0.0,1,0.0,1,10.5,2.0,東南東,5.2,南東,1026.4,0,35.0,0.0,1,8.4,南南東,晴,曇後一時雨
2015/2/22,0.0,0,0.0,1,1.6,7.4,77.0,1023.1,1020.1,10.0,6.3,3.92,1.5,0,0.0,1,8.0,4.4,北北東,3.7,北北西,1015.6,0,60.0,0.5,0,5.3,北北西,曇一時雨,雨一時曇
2015/2/23,4.9,0,0.0,1,2.3,10.7,84.0,1010.7,1007.8,9.8,10.7,12.08,16.0,0,0.0,1,19.2,6.3,北北西,7.1,東北東,1006.2,0,56.0,1.5,0,12.9,東北東,曇一時雨,曇時々晴一時雨
2015/2/24,0.0,0,0.0,1,2.0,8.8,74.0,1013.1,1010.2,10.0,9.7,6.07,0.0,0,0.0,1,12.7,7.2,北東,4.2,北東,1010.9,0,58.0,0.0,0,6.7,東北東,曇,曇
2015/2/25,2.8,0,0.0,1,2.7,6.7,58.0,1019.0,1016.1,10.0,9.2,11.12,0.0,0,0.0,1,13.2,7.5,北東,5.4,南東,1015.0,0,45.0,0.0,0,8.6,南南東,曇,曇
2015/2/26,0.0,0,0.0,1,2.6,8.3,85.0,1017.5,1014.5,10.0,6.6,1.71,14.5,0,0.0,1,7.9,5.0,北北西,4.7,北北西,1006.9,0,64.0,0.5,0,8.6,北,雨一時曇,雨一時曇後晴
2015/2/27,8.4,0,0.0,1,3.8,5.6,54.0,1009.1,1006.1,3.8,8.2,15.4,0.0,1,0.0,1,15.3,3.8,北北西,9.2,北北西,1004.2,0,20.0,0.0,1,15.9,北西,晴,曇一時晴
2015/2/28,9.2,0,0.0,1,3.8,3.7,37.0,1024.1,1021.1,5.5,7.4,17.51,0.0,1,0.0,1,12.8,3.0,南南東,6.9,北西,1017.5,0,14.0,0.0,1,11.8,西北西,晴一時曇,曇後一時雨
2015/3/1,0.0,0,0.0,1,3.1,7.8,79.0,1013.2,1010.2,10.0,6.9,3.78,29.0,0,0.0,1,9.8,5.4,北西,9.5,北西,997.8,0,56.0,2.0,0,17.0,西北西,曇後雨,雨一時曇後晴
2015/3/2,10.9,0,0.0,1,4.2,4.2,37.0,1011.1,1008.2,0.0,9.3,19.17,0.0,1,0.0,1,14.1,5.1,北北西,7.6,北西,999.5,0,20.0,0.0,1,15.5,北西,快晴,晴時々曇
2015/3/3,0.0,0,0.0,1,2.4,5.5,60.0,1019.3,1016.3,10.0,5.6,4.13,0.5,0,0.0,1,7.7,3.6,北北西,4.4,北西,1013.6,0,41.0,0.5,0,7.5,北,曇一時雨,雨一時曇
2015/3/4,5.7,0,0.0,1,2.6,8.3,71.0,1004.8,1001.9,9.3,9.6,14.18,18.5,0,0.0,1,17.5,3.2,北北西,5.3,北西,1002.0,0,34.0,2.0,0,10.4,北西,曇時々晴一時雨,薄曇
2015/3/5,10.2,0,0.0,1,3.7,4.1,35.0,1015.5,1012.6,7.0,9.3,18.4,0.0,1,0.0,1,14.3,5.4,北北西,7.9,北北西,1008.0,0,21.0,0.0,1,15.2,北,晴,曇
2015/3/6,1.9,0,0.0,1,2.8,5.4,53.0,1024.2,1021.2,10.0,7.3,9.58,0.0,0,0.0,1,12.0,4.9,北東,4.4,北北東,1021.8,0,34.0,0.0,0,9.6,北北東,曇,雨一時曇
2015/3/7,0.0,0,0.0,1,2.7,7.6,82.0,1023.9,1020.9,10.0,6.0,5.71,4.5,0,0.0,1,8.2,3.9,北,4.3,北北西,1021.9,0,70.0,0.5,0,7.8,北北西,曇時々雨,曇時々雨
2015/3/8,0.0,0,0.0,1,3.4,8.8,81.0,1021.8,1018.8,10.0,8.2,3.16,0.5,0,0.0,1,10.9,5.9,北北西,5.6,北北西,1020.5,0,67.0,0.5,0,10.2,北北西,雨後曇,曇
2015/3/9,0.0,0,0.0,1,3.0,10.3,89.0,1013.6,1010.7,10.0,9.0,3.45,23.0,0,0.0,1,9.9,8.4,北北西,5.5,北西,997.8,0,75.0,2.5,0,9.1,北北西,雨一時曇,雨後一時曇
2015/3/10,3.4,0,0.0,1,4.6,5.9,54.0,998.3,995.3,8.0,7.7,8.45,2.5,0,0.0,1,13.7,1.7,北西,7.5,北西,994.1,0,28.0,0.5,0,16.5,北西,曇時々晴後一時雨、みぞれを伴う,晴
2015/3/11,11.1,0,0.0,1,3.6,3.4,37.0,1008.6,1005.7,1.0,6.2,20.53,0.0,1,0.0,1,12.2,-0.4,南南西,7.0,南西,1005.7,0,18.0,0.0,1,13.2,南西,晴,晴一時曇
2015/3/12,10.9,0,0.0,1,3.9,3.7,34.0,1011.1,1008.1,3.5,8.6,20.19,0.0,1,0.0,1,14.8,3.6,南南西,6.5,南南東,1007.7,0,20.0,0.0,1,13.0,南南東,晴一時薄曇,快晴
2015/3/13,10.6,0,0.0,1,3.0,4.0,35.0,1015.9,1013.0,0.8,8.9,19.44,0.0,1,0.0,1,14.4,1.8,北西,7.0,南東,1013.9,0,19.0,0.0,1,11.4,南南東,晴,晴
2015/3/14,6.0,0,0.0,1,2.6,5.0,45.0,1019.8,1016.8,6.3,8.9,13.38,0.0,1,0.0,1,13.5,4.7,北東,4.6,西南西,1015.8,0,20.0,0.0,1,8.2,西南西,曇一時晴,曇一時晴
2015/3/15,3.3,0,0.0,1,1.9,6.9,63.0,1024.9,1021.9,9.0,8.4,9.09,0.0,0,0.0,1,13.0,4.9,北北西,3.5,北東,1022.1,0,48.0,0.0,0,6.4,東,曇後一時晴,曇一時晴
2015/3/16,3.2,0,0.0,1,1.9,9.8,74.0,1022.9,1020.0,10.0,11.1,11.12,10.0,0,0.0,1,16.0,7.3,北西,4.7,南東,1021.1,0,48.0,0.5,0,7.9,南東,曇後一時雨,雨後一時晴
2015/3/17,10.0,0,0.0,1,2.6,12.2,76.0,1018.4,1015.5,3.3,14.5,20.0,0.5,0,0.0,1,21.2,9.2,南南東,5.5,南南東,1015.3,0,46.0,0.5,0,8.7,南東,晴後一時薄曇,晴時々曇
2015/3/18,4.3,0,0.0,1,2.2,12.1,74.0,1017.7,1014.8,9.3,14.8,13.67,0.0,0,0.0,1,21.7,10.7,東北東,4.7,北東,1015.7,0,39.0,0.0,0,8.0,北北東,薄曇,曇後時々雨
2015/3/19,0.6,0,0.0,1,2.1,12.6,90.0,1009.4,1006.5,10.0,11.9,5.75,5.0,0,0.0,1,15.9,10.3,北北西,4.3,西北西,1005.1,0,69.0,0.5,0,7.0,東南東,曇後雨,曇
2015/3/20,0.6,0,0.0,1,2.3,10.6,77.0,1014.0,1011.1,9.0,11.8,9.39,0.0,1,0.0,1,14.9,9.9,東,4.0,東北東,1011.5,0,60.0,0.0,1,7.0,東北東,曇,曇一時晴
2015/3/21,1.9,0,0.0,1,2.6,7.1,57.0,1016.5,1013.5,9.8,10.5,12.31,0.0,0,0.0,1,16.0,7.2,南南東,5.6,南南東,1014.7,0,28.0,0.0,0,8.6,南南東,曇一時雨後時々晴,曇時々晴
2015/3/22,9.8,0,0.0,1,3.2,9.0,61.0,1012.6,1009.7,5.0,12.9,19.39,0.0,0,0.0,1,18.7,6.6,南南東,6.7,南南東,1009.6,0,45.0,0.0,0,11.3,南南東,晴,晴一時雨
2015/3/23,7.3,0,0.0,1,2.9,5.1,43.0,1011.9,1009.0,6.0,10.7,17.03,0.0,0,0.0,1,17.0,4.7,北北西,6.5,北北西,1009.0,0,15.0,0.0,0,13.3,北,晴後曇,晴一時曇
2015/3/24,10.8,0,0.0,1,4.6,3.4,33.0,1018.7,1015.8,1.3,8.2,22.2,0.0,1,0.0,1,15.1,3.9,北西,7.8,北西,1015.9,0,14.0,0.0,1,14.7,北西,晴,晴一時曇
2015/3/25,11.8,0,0.0,1,5.0,3.6,35.0,1026.2,1023.2,0.0,8.1,23.24,0.0,1,0.0,1,14.3,2.7,北西,8.2,北西,1022.3,0,18.0,0.0,1,16.7,西北西,快晴,快晴
2015/3/26,11.8,0,0.0,1,3.9,4.1,35.0,1029.5,1026.5,0.0,9.5,23.25,0.0,1,0.0,1,15.8,4.9,北北西,7.5,北北西,1027.0,0,14.0,0.0,1,12.1,北北西,快晴,快晴
2015/3/27,11.9,0,0.0,1,3.0,5.5,38.0,1023.8,1020.8,0.0,12.3,23.22,0.0,1,0.0,1,20.4,4.0,南,5.7,南,1020.6,0,21.0,0.0,1,10.2,南南西,快晴,晴
2015/3/28,8.2,0,0.0,1,2.7,7.1,46.0,1018.1,1015.2,4.5,14.1,19.28,0.0,1,0.0,1,20.6,7.6,南,5.2,南,1015.7,0,22.0,0.0,1,9.0,南南西,曇後晴,快晴
2015/3/29,5.0,0,0.0,1,3.0,9.6,58.0,1014.2,1011.3,7.0,14.6,12.44,0.0,0,0.0,1,21.1,9.0,南南西,6.7,南,1010.5,0,35.0,0.0,0,12.2,南南西,曇一時雨,晴一時雨
2015/3/30,11.5,0,0.0,1,3.1,9.4,54.0,1017.7,1014.9,0.3,16.2,22.05,0.0,1,0.0,1,23.6,9.4,南,6.0,南東,1013.3,0,20.0,0.0,1,10.1,南,快晴,快晴
2015/3/31,11.5,0,0.0,1,4.7,10.6,58.0,1017.9,1015.0,2.0,16.7,23.08,0.0,1,0.0,1,23.2,9.8,南,9.7,南,1013.7,0,29.0,0.0,1,15.6,南南西,晴,晴後一時薄曇
2015/4/1,0.0,0,0.0,1,2.6,12.0,76.0,1010.9,1008.0,9.5,13.9,5.52,1.5,0,0.0,1,18.7,8.8,北東,6.8,東北東,1005.4,0,60.0,0.5,0,11.7,東北東,曇時々雨,雨後曇時々晴
2015/4/2,11.1,0,0.0,1,3.8,8.5,64.0,1019.2,1016.3,6.0,11.6,22.24,0.0,1,0.0,1,17.4,6.5,南,7.1,南,1014.6,0,38.0,0.0,1,11.6,南,晴,晴時々曇
2015/4/3,0.0,0,0.0,1,6.4,15.9,79.0,1009.5,1006.7,9.3,17.3,5.62,0.0,0,0.0,1,20.6,12.1,南,10.4,南,1004.3,0,65.0,0.0,0,19.5,南南西,曇一時雨,曇
2015/4/4,0.0,0,0.0,1,3.5,10.2,66.0,1018.9,1016.0,10.0,13.2,6.43,0.0,0,0.0,1,19.1,10.0,北東,7.4,東北東,1008.0,0,51.0,0.0,0,13.6,東北東,曇一時雨,曇後一時雨
2015/4/5,0.0,0,0.0,1,1.5,11.2,89.0,1016.9,1013.9,10.0,10.3,3.5,8.0,0,0.0,1,11.4,8.6,北北西,3.5,北東,1012.4,0,68.0,1.0,0,5.4,東北東,雨時々曇,曇
2015/4/6,7.9,0,0.0,1,2.1,13.4,75.0,1011.4,1008.6,8.3,16.2,19.88,0.0,0,0.0,1,22.9,11.2,東北東,5.7,東北東,1009.7,0,51.0,0.0,0,9.6,東北東,晴時々曇後一時雨,雨時々曇
2015/4/7,0.0,0,0.0,1,3.0,11.2,91.0,1016.9,1014.0,10.0,10.0,2.69,4.5,0,0.0,1,13.0,6.9,北東,5.7,東北東,1012.4,0,79.0,0.5,0,10.7,東北東,雨,雨
2015/4/8,0.0,0,0.0,1,3.5,7.3,89.0,1025.4,1022.4,10.0,4.1,3.11,20.0,0,0.0,1,7.6,2.4,北北東,5.8,東北東,1021.1,0,80.0,1.0,0,11.9,北東,雨一時みぞれ,曇
2015/4/9,8.7,0,0.0,1,2.6,6.1,61.0,1028.4,1025.4,8.0,7.4,21.56,0.0,1,0.0,1,13.2,3.2,北北東,4.5,北東,1026.7,0,36.0,0.0,1,8.3,北東,曇時々晴,晴後薄曇
2015/4/10,0.0,0,0.0,1,2.7,8.1,75.0,1025.1,1022.1,10.0,8.3,6.3,9.5,0,0.0,1,12.1,5.3,北北西,4.9,北北西,1021.6,0,50.0,0.5,0,7.9,北,曇後一時雨,雨
2015/4/11,0.0,0,0.0,1,2.8,11.6,86.0,1021.5,1018.5,10.0,11.5,8.15,7.5,0,0.0,1,16.2,8.4,北北西,5.1,北北西,1018.7,0,64.0,0.5,0,9.0,北北西,雨後曇,曇時々晴一時雨
2015/4/12,8.3,0,0.0,1,2.5,8.7,61.0,1029.8,1026.8,7.0,12.9,21.0,0.0,1,0.0,1,18.0,8.4,東北東,4.5,東北東,1026.8,0,28.0,0.0,1,8.8,北,薄曇一時晴,曇
2015/4/13,0.0,0,0.0,1,3.2,10.7,89.0,1024.3,1021.3,10.0,9.7,2.35,36.5,0,0.0,1,11.3,8.5,北北西,5.9,北北西,1015.3,0,72.0,1.0,0,11.0,北北西,雨一時曇,雨後時々曇
2015/4/14,0.0,0,0.0,1,2.0,13.6,96.0,1010.6,1007.7,10.0,12.1,4.13,22.5,0,0.0,1,14.1,9.3,北東,4.8,北西,1005.7,0,86.0,2.0,0,8.0,北西,雨一時曇,雨後一時晴
2015/4/15,10.2,0,0.0,1,4.7,10.9,64.0,1003.2,1000.3,6.5,15.4,22.13,2.0,0,0.0,1,21.4,10.5,南南西,10.2,南南西,998.4,0,40.0,0.5,0,18.1,南南西,晴時々曇,晴一時曇、雷を伴う
2015/4/16,9.0,0,0.0,1,2.5,10.2,58.0,1010.2,1007.4,5.3,15.7,20.87,0.0,1,0.0,1,21.5,8.8,南南東,5.7,南東,1007.8,0,34.0,0.0,1,8.4,南南東,晴後薄曇,薄曇一時晴
2015/4/17,5.8,0,0.0,1,3.2,11.8,64.0,1010.3,1007.4,7.3,16.4,17.08,3.5,0,0.0,1,24.9,9.3,東北東,6.8,北北東,1006.3,0,43.0,1.5,0,13.6,北北東,晴時々曇一時雨,曇一時雨後晴
2015/4/18,11.1,0,0.0,1,4.2,9.1,58.0,1017.2,1014.2,6.3,14.0,23.14,0.0,1,0.0,1,19.7,6.8,南,9.3,南,1014.1,0,35.0,0.0,1,17.0,南南西,薄曇一時晴,薄曇一時晴
2015/4/19,0.0,0,0.0,1,1.5,11.2,69.0,1016.8,1013.9,9.5,14.3,6.87,0.0,0,0.0,1,17.2,10.4,西北西,3.6,北北西,1015.3,0,54.0,0.0,0,5.6,北,曇後一時雨,曇
2015/4/20,0.2,0,0.0,1,5.3,19.1,89.0,1007.7,1004.9,10.0,18.4,5.37,10.5,0,0.0,1,20.7,13.6,南,10.3,南,1000.4,0,60.0,1.5,0,19.3,南南西,雨時々曇,雨後曇
2015/4/21,0.0,0,0.0,1,3.0,15.4,76.0,1007.5,1004.7,10.0,17.5,6.54,0.5,0,0.0,1,20.5,13.9,東北東,9.8,南,998.2,0,57.0,0.5,0,16.2,南南東,曇,曇後一時晴
2015/4/22,4.8,0,0.0,1,2.6,10.9,62.0,1018.6,1015.7,9.5,15.7,16.93,2.5,0,0.0,1,21.4,11.2,東,7.0,南東,1017.0,0,28.0,1.0,0,10.9,南東,晴後曇一時雨,雨後晴一時曇
2015/4/23,11.6,0,0.0,1,2.5,12.8,66.0,1019.7,1016.8,5.3,18.0,24.93,0.0,1,0.0,1,24.8,11.9,南南東,6.4,南南東,1016.9,0,25.0,0.0,1,10.1,南南東,晴,薄曇
2015/4/24,6.8,0,0.0,1,4.2,14.5,70.0,1018.0,1015.1,10.0,18.3,20.67,0.0,1,0.0,1,23.9,14.0,南南東,7.8,南南西,1013.9,0,47.0,0.0,1,15.1,南南東,薄曇,薄曇
2015/4/25,6.5,0,0.0,1,2.7,10.3,53.0,1017.4,1014.6,6.5,17.2,18.33,0.0,0,0.0,1,22.9,12.6,東,7.4,南南東,1014.3,0,27.0,0.0,0,11.6,南,晴時々曇,晴時々曇
2015/4/26,12.4,0,0.0,1,3.3,10.2,50.0,1019.8,1017.0,3.0,17.8,25.54,0.0,1,0.0,1,23.8,12.4,南南東,6.5,南南東,1017.5,0,33.0,0.0,1,12.2,南南東,晴,快晴
2015/4/27,12.3,0,0.0,1,2.9,14.9,68.0,1017.7,1014.8,0.0,19.3,25.33,0.0,1,0.0,1,25.0,13.3,南南東,6.4,南東,1015.3,0,46.0,0.0,1,10.3,南南東,快晴,快晴
2015/4/28,10.8,0,0.0,1,2.8,15.6,66.0,1017.5,1014.6,5.5,20.8,24.37,0.0,1,0.0,1,27.2,14.6,南,5.8,南南東,1015.9,0,40.0,0.0,1,8.7,南,晴時々薄曇,薄曇
2015/4/29,7.5,0,0.0,1,3.3,14.4,65.0,1016.6,1013.7,7.8,19.4,19.2,0.0,1,0.0,1,24.3,15.0,南,5.8,南,1014.7,0,39.0,0.0,1,9.4,南,薄曇後時々晴,晴後一時曇
2015/4/30,4.5,0,0.0,1,2.4,13.9,65.0,1015.7,1012.9,5.0,19.0,15.39,0.0,1,0.0,1,24.0,14.7,東南東,4.8,東南東,1014.0,0,42.0,0.0,1,9.8,東,曇時々晴,快晴
2015/5/1,12.2,0,0.0,1,2.4,14.4,63.0,1014.6,1011.8,0.3,20.5,26.34,0.0,1,0.0,1,27.5,14.5,南,4.8,南南東,1012.0,0,28.0,0.0,1,7.8,南南東,晴,快晴
2015/5/2,12.3,0,0.0,1,2.7,15.7,66.0,1016.3,1013.5,1.0,21.0,25.76,0.0,1,0.0,1,27.6,15.2,南東,6.0,南南東,1015.0,0,36.0,0.0,1,9.4,南南東,快晴,晴後曇
2015/5/3,8.2,0,0.0,1,2.9,14.9,62.0,1013.8,1011.0,9.8,21.2,22.65,0.0,1,0.0,1,27.0,17.2,南南東,5.7,南,1011.1,0,17.0,0.0,1,9.9,南南東,薄曇時々晴,薄曇後一時雨
